,_id,consommation_energie,classe_consommation_energie,estimation_ges,surface_thermique_lot,classe_estimation_ges,annee_construction,tr002_type_batiment_description,code_insee_commune_actualise,geo_adresse,consommation_surface_ratio
1185,7rqqItZQbPMyh_GPVRqD9,178.72,4.0,6.33,46.45,2.0,1988.0,Logement,33522,164 Cours Gambetta 33400 Talence,3.8475780409041977
1186,Dezb88Etv61CZkX6Xzz9z,146.85,3.0,6.09,105.0,2.0,1994.0,Maison Individuelle,34022,6 Rue Jean Hugo 34670 Baillargues,1.3985714285714286
1187,Ah1bO9hMRBzIyz8_DX_jg,174.0,4.0,52.0,110.0,5.0,1947.0,Maison Individuelle,35133,6 La Vairie 35750 Iffendic,1.5818181818181818
1189,Xeh6yh7ZN7FUBqNu4aUtX,183.87,4.0,3.66,120.0,1.0,2000.0,Maison Individuelle,37093,La Garenne 37220 Crouzilles,1.5322500000000001
1190,CFoHm9GXjzUbVOoxxrfbL,226.0,4.0,13.0,127.0,3.0,2006.0,Maison Individuelle,38150,7 Lotissement des Contamines 38420 Domène,1.779527559055118
1193,XJjmad_JEFcEoktqr7tzL,188.56,4.0,44.12,145.0,5.0,1930.0,Maison Individuelle,41167,23 Rue Gustave-marc 41150 Veuzain-sur-Loire,1.3004137931034483
1196,T66njQnr0oU5HztA7SfD2,374.3,6.0,87.59,31.4,7.0,1960.0,Logement,44143,25 Rue du Lieutenant de Monti 44400 Rezé,11.920382165605096
1197,Hx7bzz02B0FqcZgMmKFXD,373.39,6.0,18.19,70.0,3.0,1977.0,Maison Individuelle,45063,1 Impasse du Stade 45620 Cerdon,5.334142857142857
1204,Y3wR5lwkgYDzA8JIZ8IH8,463.0,7.0,8.0,148.0,2.0,1947.0,Maison Individuelle,52110,12 Grande Rue 52110 Charmes-la-Grande,3.1283783783783785
1205,PD7c-KGpjNK46g_0LJp4y,281.8,5.0,84.54,99.83,7.0,1948.0,Maison Individuelle,53096,20 Avenue de la Libération 53500 Ernée,2.8227987578884104
1206,NvqxRo178gA2Qrfk3AoGp,192.99,4.0,45.16,1419.0,5.0,2007.0,Bâtiment collectif à usage principal d'habitation,54395,Boulevard Lobau 54000 Nancy,0.13600422832980974
1207,ZUZi7l7Y3BJoata9uuOoT,189.0,4.0,44.0,232.0,5.0,1947.0,Maison Individuelle,55310,1 Grande Rue 55700 Luzy-Saint-Martin,0.8146551724137931
1209,8bVCv5fXt1I_4yl9HxG2H,365.6,6.0,109.68,106.4,7.0,1950.0,Maison Individuelle,57274,1a Rue de Varsberg 57880 Guerting,3.43609022556391
1211,M03eYiXQ6x1u1wpDGEnsU,248.0,5.0,14.0,120.0,3.0,2006.0,Maison Individuelle,59169,Place Leon Couture 59680 Damousies,2.066666666666667
1219,KRWFUjaLaICxy_1ppmttH,127.0,3.0,6.0,36.0,2.0,2006.0,Logement,67200,12 Rue de l’Ill 67150 Hipsheim,3.5277777777777777
1220,IfkiX9l4o67UgDRz_T8an,308.05,5.0,72.08,88.0,6.0,1950.0,Logement,68374,Rue Acker 68124 Wintzenheim,3.5005681818181817
1225,x0vY_FWvY1pB2gWjIX5M7,324.66,5.0,17.97,89.62,3.0,1977.0,Maison Individuelle,73128,131 Rue de Sarraz 73100 Grésy-sur-Aix,3.622628877482705
1227,r-sbh88rXtifT_fngGXQV,306.0,5.0,15.0,74.54,3.0,1975.0,Logement,75012,Rue Claude Monet 92100 Boulogne-Billancourt,4.105178427689831
1230,amdMyPhe_E7JjjGHdG4GB,213.3,4.0,10.33,176.9,2.0,1990.0,Logement,78551,34 Rue au Pain 78100 Saint-Germain-en-Laye,1.2057659694742793
1231,7nMDjfZqlUDkQ5Db4sk6S,428.0,6.0,23.0,19.75,4.0,1948.0,Logement,79500,Chemin de la Cigale Saint-Romans-lès-Melle,21.670886075949365
1233,zKRWTyb-5Nadaw5F033Wv,450.0,6.0,117.0,121.35,7.0,1948.0,Maison Individuelle,81100,Avenue Marthe Bruniquel (Pont) Castres,3.708281829419036
1235,sGi1c_Gs_yly6vC2FinLF,369.52,6.0,18.09,24.0,3.0,1985.0,Logement,83123,Avenue Andre Dumerc 83110 Sanary-sur-Mer,15.396666666666667
1237,ygvCtoRaKPgYvhxbCB90C,206.0,4.0,48.0,81.0,5.0,1947.0,Maison Individuelle,85200,Rue du Stade 85540 Saint-Avaugourd-des-Landes,2.54320987654321
1238,4fdnZGkVamhI6xu6YO8kE,339.48,6.0,17.89,47.0,3.0,1950.0,Logement,86027,29 Rue des Chênevières 86580 Biard,7.222978723404256
1240,CRTL6iszrsIHYletrFJZ4,140.41,3.0,24.91,170.0,4.0,2006.0,Maison Individuelle,88015,Rue des Ormes 88300 Attignéville,0.8259411764705882
1242,3U_OnGWOckolHqeVHVaND,360.81,6.0,11.75,173.84,3.0,1948.0,Logement,75116,8 Square Alboni 75016 Paris,2.075529222273355
1245,kZMdnZ-71iLSDj5oaN29T,268.51,5.0,62.83,45.0,6.0,1930.0,Logement,93066,2 Rue Auguste Poullain 93200 Saint-Denis,5.966888888888889
1248,QVZrb4wMQngYZkmE5hXEq,237.0,5.0,7.0,29.26,2.0,1947.0,Logement,01320,10 Rue de la Levee 01750 Replonges,8.099794941900205
1249,Vb_4cJM9OYhkoE4n1cPbY,291.0,5.0,16.0,103.0,3.0,1989.0,Maison Individuelle,02540,Rue des Grandes Maisons 02400 Nesles-la-Montagne,2.825242718446602
1254,Xkex9X0rOXA99Jqammxui,215.04,4.0,182.03,74.0,7.0,1800.0,Maison Individuelle,07005,Chemin du Jeu de Mail 07400 Alba-la-Romaine,2.905945945945946
1257,S7EFFtlHBRmGsh60NSWq_,232.81,5.0,54.48,67.43,5.0,1982.0,Logement,10387,15 Rue Georges Rouault 10000 Troyes,3.4526175292896335
1258,qO7fX2tXfv8oJjZ8yDBuM,371.0,6.0,39.0,35.0,5.0,1948.0,Logement,11210,1 Residence du Parc 11200 Luc-sur-Orbieu,10.6
1260,0_Dq8f2zJmuqaTXv8ElLX,292.0,5.0,11.0,18.47,3.0,1989.0,Logement,13013,Avenue de la Sainte Victoire 13720 Belcodène,15.809420682187332
1261,_4QbmE0XkpXehcm5h4kfz,256.0,5.0,11.0,37.5,3.0,2006.0,Maison Individuelle,14520,Rue de l'Abbé Lanier 14340 Le Pré-d'Auge,6.826666666666667
1263,8dCmDEGmZVbXMIvBsRzeW,30.79,1.0,7.2,86.5,2.0,2006.0,Maison Individuelle,16015,Hameau des Rossignols 16000 Angoulême,0.35595375722543354
1264,QQRi5genesXAud53_7EL5,650.29,7.0,21.17,61.0,4.0,1900.0,Maison Individuelle,17053,2 Rue de la Source 17430 Bords,10.660491803278688
1267,UsmUVHOv5Gt5CalMlKTnb,430.0,6.0,5.0,95.0,1.0,1975.0,Maison Individuelle,21240,Rue Pierre Brossolette (Pont) Bar-sur-Aube,4.526315789473684
1269,hh-hMQ_8tJdb2KgCw62en,218.93,4.0,11.31,113.52,3.0,2006.0,Maison Individuelle,23193,25 Le Theil 23000 Sainte-Feyre,1.928558844256519
1271,2jzi_KcjoZZcA6--eCEHk,74.0,2.0,17.0,86.5,3.0,1.0,Logement,25550,Rue des Sapins 25510 La Sommette,0.8554913294797688
1273,z14nY9LR81L92hcjoxQF9,264.0,5.0,8.0,86.19,2.0,1.0,Maison Individuelle,27290,Rue de la Ronde Mare 27170 Goupil-Othon,3.0630003480682215
1274,7SeDbUEiThOfOdaupX1UV,243.0,5.0,56.0,53.89,6.0,1948.0,Logement,28400,12 Rue du Château 28140 Varize,4.50918537762108
1275,MysRfWBfzEYluDRa7_bOU,294.23,5.0,29.37,53.68,4.0,1968.0,Logement,29019,6 rue de Loctudy 29200 Brest,5.48118479880775
1277,8JEMSgzIDzfX4g-V--j_y,269.68,5.0,15.58,117.9,3.0,1983.0,Maison Individuelle,20087,Petrosa 20221 Cervione,2.2873621713316368
1279,X41tw7rS22B1_y3SAinz9,171.0,4.0,40.0,150.0,5.0,1948.0,Maison Individuelle,31130,Rue de l'Église 31580 Cazaril-Tambourès,1.14
1285,P3oM9JymvuxLNOa8qzwT2,218.44,4.0,41.98,86.0,5.0,2005.0,Maison Individuelle,37197,3 Rue de Lionnière 37420 Rigny-Ussé,2.54
1286,7L8JC2FKAMJB60SUsTGYC,222.0,4.0,8.0,127.0,2.0,2001.0,Maison Individuelle,38150,10 Rue des Jardins 38420 Domène,1.7480314960629921
1289,l38sQFBc2qoQzIwMKerVk,625.53,7.0,39.3,47.3,5.0,1960.0,Maison Individuelle,41067,1 Rue Gilette 41700 Cour-Cheverny,13.224735729386893
1290,gyl-aNYpWoc5E-r1UScg3,418.0,6.0,107.0,82.36,7.0,1948.0,Maison Individuelle,42153,50 Rue de l’Eglise 42470 Neaux,5.075279261777562
1292,Rn3Al4mRGIZ4qCfuuEwwG,170.0,4.0,7.0,73.84,2.0,2001.0,Logement,44400,Rue Simone de Beauvoir (Pont) L'Étrat,2.302275189599133
1294,iKzYvr-vwqMSX1_ETQSMx,214.49,4.0,46.39,126.0,5.0,1974.0,Maison Individuelle,46145,Rue du Pech Saint Maur 46200 Lachapelle-Auzac,1.7023015873015874
1296,aDhZlMP1vlQaPmGyoLQcU,416.0,6.0,29.0,68.0,4.0,1978.0,Bâtiment collectif à usage principal d'habitation,48300,Rue du Général Leclerc (Pont) Saint-Quentin,6.117647058823529
1297,X2gnQ76mPNOA_qf2inS9Y,214.15,4.0,11.87,140.0,3.0,1999.0,Maison Individuelle,49007,1 Rue du Calvaire 49100 Angers,1.529642857142857
1299,LT9KGGgJGVtHD3__njwum,226.83,4.0,11.18,86.0,3.0,1974.0,Logement,51454,4 rue Théodore Géricault 51100 Reims,2.637558139534884
1300,1BOvkzT7FkOg36V2ocKq7,463.0,7.0,8.0,148.0,2.0,1947.0,Maison Individuelle,52110,12 Grande Rue 52110 Charmes-la-Grande,3.1283783783783785
1301,YZOnUMrK-3b5Xtu2kA59J,519.0,7.0,31.0,90.0,4.0,1948.0,Maison Individuelle,53270,Chemin des Grottes Hyères,5.766666666666667
1304,U0MUoj2hXzeGEmC5s9uf6,192.37,4.0,8.81,133.93,2.0,2001.0,Maison Individuelle,56130,17 Rue de Bellevue 56700 Merlevenez,1.4363473456283133
1305,QVvDoZPFw3i6IVCEYyEOt,303.18,5.0,14.48,116.0,3.0,2009.0,Maison Individuelle,57016,3 impasse de la clé des champs 57320 Alzing,2.6136206896551726
1309,boHKqkeo8xlHw8bg1xefa,198.0,4.0,9.0,90.0,2.0,1948.0,Maison Individuelle,61440,Boulevard du Général de Gaulle (Pont) Rezé,2.2
1312,Iq2DeeicDJfcTgvTbH85Z,204.0,4.0,7.0,36.35,2.0,1948.0,Logement,64260,7 Rue Saint - Exupery 64700 Hendaye,5.612104539202201
1314,wft-0d7kyE8nWnxU94HOH,149.59,3.0,3.84,32.55,1.0,2008.0,Logement,66182,2 Rue de la Liberté 66470 Sainte-Marie-la-Mer,4.595698924731184
1320,fu4lAv2e2nXcttbZPsBMY,313.0,5.0,10.0,58.0,2.0,1947.0,Maison Individuelle,72380,13 Rue de Doucelles 72170 Vivoin,5.396551724137931
1321,Sm3YX7o6oyaw2AgHDPs9S,271.12,5.0,3.78,52.01,1.0,1900.0,Logement,73310,Verel-Pragondran,5.212843683906941
1322,Y4SgWF1sXMF_XM2gTW8RW,128.0,3.0,30.0,229.15,4.0,2000.0,Maison Individuelle,74200,Chemin des codes 74500 Neuvecelle,0.5585860789875627
1324,kzOlp5RLw5Wj1OTiQ73kS,240.0,5.0,7.0,126.59,2.0,1.0,Maison Individuelle,76710,Rue de la Mairie 76640 Trémauville,1.8958843510545855
1325,rNwjPHhPEgYx0GwPcJOVL,295.99,5.0,14.27,96.0,3.0,1976.0,Maison Individuelle,77276,Rue Ronsard 77100 Mareuil-lès-Meaux,3.083229166666667
1326,i_WyqAJPAiqYlFuKvDwvM,166.52,4.0,7.56,93.4,2.0,1990.0,Logement,78551,34 Rue au Pain 78100 Saint-Germain-en-Laye,1.7828693790149892
1327,p6ESFtft8m0avgPAs0W0t,382.0,6.0,20.0,22.38,3.0,1948.0,Logement,79500,Chemin de la Cigale Saint-Romans-lès-Melle,17.06881143878463
1329,q6sXbRUaeEo_hriNjwDLj,156.38,4.0,6.61,124.0,2.0,2002.0,Maison Individuelle,81084,Route de Labruguière 81290 Escoussens,1.2611290322580644
1335,tz9JNHvrhkCpcMSlcsg7M,239.05,5.0,11.93,78.37,3.0,2006.0,Logement,87085,1 rue Jean-Pierre Timbaud 87000 Limoges,3.0502743396707923
1337,HPYr8xKEd8_NIZo9kwvsT,421.0,6.0,9.0,105.0,2.0,1947.0,Maison Individuelle,89100,Rue des Fours Banaux 89690 Chéroy,4.0095238095238095
1338,AY4DPM-hXyq-A0zE9iX9v,328.99,5.0,76.98,27.94,6.0,2000.0,Logement,53064,La Basse Courie 53100 Châtillon-sur-Colmont,11.774874731567644
1342,JmO3ozIKwVJF7I0rHICZR,164.32,4.0,6.54,74.12,2.0,2000.0,Logement,94067,10 Rue Paul Bert 94160 Saint-Mandé,2.2169454937938475
1345,kzCj5O7LwBZUbzsGmMMRK,269.0,5.0,8.0,74.32,2.0,1.0,Maison Individuelle,02110,Rue des Présles 02220 Braine,3.619483315392896
1346,NQw32KfUs5BQJKrEcwZav,380.0,6.0,114.0,68.2,7.0,1948.0,Maison Individuelle,03230,5 Rue de la Fontaine 03300 Saint-Étienne-de-Vicq,5.571847507331378
1350,6a00ofHr5h0uT8eZ0XrO7,215.04,4.0,182.03,74.0,7.0,1800.0,Maison Individuelle,07005,Chemin du Jeu de Mail 07400 Alba-la-Romaine,2.905945945945946
1353,FgWwztUNxAXVw1taa9GV6,247.64,5.0,57.95,111.0,6.0,1950.0,Maison Individuelle,10233,14 Route de Soissons 10170 Méry-sur-Seine,2.230990990990991
1359,e6I_h60xHiDGNYCevGZoI,90.82,2.0,2.99,135.84,1.0,2006.0,Maison Individuelle,16287,rue de la boeme 16440 Roullet-Saint-Estèphe,0.6685806831566549
1360,KBn-MdGzDQEDQ5nqzLnTn,216.27,4.0,7.54,32.08,2.0,1983.0,Maison Individuelle,17225,Avenue de la Palmyre 17570 Les Mathes,6.741583541147133
1363,r4tlXpiunooQ1FxJbv3CX,348.0,6.0,104.0,84.0,7.0,1948.0,Maison Individuelle,21310,3 Grande Rue 21540 Grosbois-en-Montagne,4.142857142857143
1367,v3phVSQym8dnA0l9laLN1,68.0,2.0,16.0,72.3,3.0,1.0,Logement,25550,Rue des Sapins 25510 La Sommette,0.9405255878284924
1370,5LyHMuAz1tByfggNUaN1I,334.73,6.0,16.66,50.63,3.0,2006.0,Maison Individuelle,28051,13 Lieu Dit Guibert 28800 Bonneval,6.611297649614853
1372,3yXZr2pSWtm02D2ys9p0B,226.0,4.0,9.0,55.52,2.0,1989.0,Logement,20137,Village 20244 Lano,4.0706051873198845
1373,cXdusGfmWnEOaZiQC_zRQ,319.23,5.0,17.38,57.0,3.0,1980.0,Maison Individuelle,20087,Petrosa 20221 Cervione,5.600526315789474
1376,xrfuuFEIBBq3_ipOIG44C,196.0,4.0,45.0,89.0,5.0,1948.0,Maison Individuelle,32110,Rue de la Fileuse 32330 Courrensan,2.202247191011236
1378,RYdmOoDw0F-2-9F1jU7lu,110.4,3.0,25.02,66.3,4.0,2001.0,Logement,34172,138 Rue Michel Crépeau 34070 Montpellier,1.665158371040724
1381,ji3Zp12X3OpsIzi7oIt9p,228.0,4.0,53.0,140.5,5.0,1947.0,Maison Individuelle,37140,1 Route de Braslou 37120 Luzé,1.6227758007117439
1382,jiKlzzno2eXy29XUUQBAT,348.0,6.0,17.0,136.0,3.0,1948.0,Maison Individuelle,38150,7 Rue Maurice Savin 38420 Domène,2.5588235294117645
1385,GC1P3FSaRi2KE29EDK6om,322.47,5.0,14.98,22.0,3.0,2010.0,Maison Individuelle,41230,30 Rue des Eperviers 41000 Saint-Sulpice-de-Pommeray,14.657727272727273
1388,aDPLdL0zpEukuHt2A5mMx,418.0,6.0,22.0,38.18,4.0,1989.0,Logement,44055,180 avenue du maréchal de lattre de tassigny 44500 La Baule-Escoublac,10.948140387637507
1389,4TM7JMqK0ozA0pDWfR78I,216.79,4.0,65.04,90.0,6.0,1948.0,Maison Individuelle,45268,84 Rue Nationale 45600 Saint-Aignan-le-Jaillard,2.408777777777778
1391,kRSO9t6c_yRnDHNElTcCi,177.0,4.0,53.0,118.5,5.0,1948.0,Maison Individuelle,47200,Route de Tendou 47210 Parranquet,1.4936708860759493
1393,skVKdq1l5kDvIqqyrD0kA,221.45,4.0,12.24,140.0,3.0,1999.0,Maison Individuelle,49007,2 Rue du Hanipet 49100 Angers,1.5817857142857141
1395,f94pwtJ3_fDJjBImu78Su,296.26,5.0,61.53,275.0,6.0,1948.0,Maison Individuelle,51333,14 Rue Victor Hugo 51500 Ludes,1.0773090909090908
1396,YWREEteDHC7tS8Y_eMQx-,636.0,7.0,12.0,49.0,3.0,1947.0,Maison Individuelle,52110,Rue de la Fontaine 52110 Charmes-la-Grande,12.979591836734693
1401,0KGmi5STaVM8KfdUbC2O2,250.0,5.0,13.0,46.1,3.0,2001.0,Logement,57180,4 Rue du Stade 57400 Dolving,5.422993492407809
1402,k89jBYqZDMd_s3E9wP56f,425.41,6.0,99.55,121.8,7.0,1955.0,Maison Individuelle,58194,86 Rue de Parigny 58000 Nevers,3.4926929392446637
1404,2g-MLqvQfmECep0CQKYrO,275.0,5.0,15.0,45.01,3.0,1989.0,Maison Individuelle,60471,52 Avenue Jean Jaurès 60400 Noyon,6.10975338813597
1410,Qiw8MQ964_VS7HL_-Crso,382.05,6.0,21.11,44.9,4.0,1948.0,Logement,66136,2 Rue Francois Arago 66000 Perpignan,8.50890868596882
1412,AxMHr5HpNBLYGs_Sf4fOk,383.97,6.0,22.01,67.37,4.0,1950.0,Logement,68066,54 Rue du Ladhof 68000 Colmar,5.699421107317797
1414,oNlR78qN0jAI83znoSM6z,477.71,7.0,88.64,59.0,7.0,1964.0,Maison Individuelle,70061,13 Rue Principale 70290 Belfahy,8.09677966101695
1418,3Ur3WJRs7Mr9UZlObPAXx,277.0,5.0,64.0,77.6,6.0,1948.0,Logement,74200,Rue du pré des portes 74500 Neuvecelle,3.5695876288659796
1419,5QcS3vPsvf2F_AsUkS21B,416.26,6.0,97.41,70.44,7.0,1948.0,Maison Individuelle,75120,196 Rue de Belleville 75020 Paris,5.909426462237366
1420,FJDYnIq_yRdwnURKZoSX1,251.06,5.0,58.75,113.31,6.0,1950.0,Maison Individuelle,76183,Rue du Renard 76400 Colleville,2.215691465890036
1421,S9MX64ftDGjUdNWqF1Jj1,477.37,7.0,15.54,98.0,3.0,1900.0,Maison Individuelle,77276,Rue Jules Ferry 77100 Mareuil-lès-Meaux,4.871122448979592
1422,aBpBr0wjGnmY7Hvr0J3lS,165.25,4.0,7.45,92.8,2.0,1990.0,Logement,78551,34 Rue au Pain 78100 Saint-Germain-en-Laye,1.7807112068965518
1423,DI1lp1WKQ7QRnTpbQkBW5,345.0,6.0,18.0,25.01,3.0,1948.0,Logement,79500,Chemin de la Cigale Saint-Romans-lès-Melle,13.794482207117152
1427,tye-1IIT9pWhfQiP7msCp,165.93,4.0,49.78,100.0,5.0,1980.0,Maison Individuelle,83129,961 Avenue Robert Guillemard 83140 Six-Fours-les-Plages,1.6593
1429,0SQwEVYXlZQ4ZYZ67RhAm,271.28,5.0,67.45,100.01,6.0,1900.0,Maison Individuelle,85072,Rue du Maréchal de Lattre de Tassigny (Pont) Flers-en-Escrebieux,2.7125287471252872
1431,v_3hOn9OrErB32RbmPXxK,364.98,6.0,85.4,144.5,7.0,1950.0,Maison Individuelle,87110,30 Avenue du 10 Juin 87520 Oradour-sur-Glane,2.5258131487889273
1433,iWgcfkqahJxQaHYx-eCEf,421.0,6.0,9.0,105.0,2.0,1947.0,Maison Individuelle,89100,Rue des Fours Banaux 89690 Chéroy,4.0095238095238095
1434,1B0zU0mk8mYw0pTYW8vAY,503.0,7.0,30.0,62.01,4.0,1954.0,Maison Individuelle,90022,27 Rue Kléber 90700 Châtenois-les-Forges,8.111594904047735
1441,dnfe8PSu7GnhzvtTxqYCf,149.8,3.0,35.05,116.8,4.0,1920.0,Maison Individuelle,02722,7 Rue Debordeaux 02200 Soissons,1.2825342465753427
1447,VBSyBDyen48am6n105STV,416.0,6.0,17.0,85.83,3.0,1948.0,Maison Individuelle,08410,Rue des Louvots 08400 Semide,4.846790166608412
1456,VCXMKOd6XDwIdOlfoQ3tx,190.31,4.0,10.19,161.19,2.0,2011.0,Maison Individuelle,17230,45 Route de Royan 17132 Meschers-sur-Gironde,1.1806563682610585
1463,-JgR_fsfwN6z5OfjZqWuh,65.0,2.0,15.0,77.5,3.0,1.0,Logement,25550,Rue des Sapins 25510 La Sommette,0.8387096774193549
1465,7CQznUpK9Xejwqp6NfRdK,386.89,6.0,22.65,90.0,4.0,1992.0,Maison Individuelle,27034,4 Route de Bonnemare 27440 Bacqueville,4.298777777777778
1466,S4YGnWpKpMqUicoVfiPz9,273.0,5.0,9.0,95.0,2.0,1989.0,Maison Individuelle,28130,15 Rue du Maréchal Leclerc 28250 Digny,2.873684210526316
1477,dYqh38PmS_mcpfSj2iTcH,344.88,6.0,10.61,106.0,2.0,1948.0,Maison Individuelle,37257,6 Place de la Mairie 37260 Thilouze,3.2535849056603774
1478,aA1xjuwuH3YmA06iwhnsZ,162.44,4.0,38.01,52.0,5.0,1974.0,Logement,38382,8 Avenue du General de Gaulle 38120 Saint-Égrève,3.123846153846154
1479,PDKIWWPf2TnWaO7-DmVmb,364.79,6.0,20.32,64.37,3.0,2006.0,Logement,39198,3 Avenue de la Paix 39100 Dole,5.667080938325307
1481,kC4gzpm3KgZccjUn7JATi,228.36,4.0,12.51,86.5,3.0,1991.0,Maison Individuelle,41230,30 Rue des Eperviers 41000 Saint-Sulpice-de-Pommeray,2.64
1485,E1UFi7Zv_Q1MOBCyRWh77,357.13,6.0,79.18,70.0,6.0,1974.0,Maison Individuelle,45268,4 Rue Croix de Villette 45600 Saint-Aignan-le-Jaillard,5.101857142857143
1486,3Om4vUNIjfT0cpmd6ls18,227.07,4.0,9.73,46.7,2.0,2001.0,Maison Individuelle,46225,4 Rue des Tertres 46220 Prayssac,4.862312633832976
1489,T-TRlvStmdkCGWEmNyoRo,218.06,4.0,12.15,140.0,3.0,1999.0,Maison Individuelle,49007,4 Rue du Hanipet 49100 Angers,1.5575714285714286
1490,wqukx3IuFLeYEI0_2p_2n,376.0,6.0,88.0,35.0,7.0,1948.0,Logement,50100,Rue du Moulin de Frainaye 50240 Saint-James,10.742857142857142
1492,caso6SEERWsjdF3Y-Cvma,283.09,5.0,45.7,75.0,5.0,1960.0,Maison Individuelle,52353,4 Rue de Bourgogne 52800 Nogent,3.774533333333333
1493,G0pkFE5ZZkJLkZcBzNbvQ,340.53,6.0,18.78,82.52,3.0,1982.0,Maison Individuelle,53003,19 Rue des Acacias 53300 Ambrières-les-Vallées,4.126635967038293
1495,_NG_rnwKazwOLcchhCLUO,336.0,6.0,19.0,131.48,3.0,1980.0,Maison Individuelle,55300,Ruelle de l'Echinée 55500 Longeaux,2.555521752357773
1497,PR1ze-oT3nikli0QtVoIG,231.0,5.0,12.0,47.26,3.0,2006.0,Logement,57330,15 rue de la forêt 57510 Holving,4.8878544223444775
1498,fnzq9qs3OIyMDKPH303ek,518.0,7.0,12.0,102.0,3.0,1947.0,Maison Individuelle,58140,Le Bourg 58370 Larochemillay,5.078431372549019
1500,Lf41Oh5K4adGmzAKhcUHA,232.0,5.0,7.0,89.27,2.0,1.0,Maison Individuelle,60590,7 Rue de la Gare 60860 Saint-Omer-en-Chaussée,2.598857398902207
1503,LIq8wiBjXPfMe-SP-GP2l,299.0,5.0,51.0,75.8,5.0,1970.0,Maison Individuelle,63236,15 Les Egravats 63240 Mont-Dore,3.944591029023747
1504,x0KSov_MXx30mDfR9UNm3,286.7,5.0,67.09,59.56,6.0,1966.0,Logement,64445,60 avenue des lilas 64000 Pau,4.813633310946944
1506,7UMHhuaZvvW9v7eyj7Z2Y,151.9,4.0,6.27,79.2,2.0,1997.0,Logement,66136,13 Rue Claude Marty 66000 Perpignan,1.917929292929293
1508,vly4LmSBcWjVwYmukat5X,298.42,5.0,81.77,111.0,7.0,1923.0,Maison Individuelle,68185,Rue du Général de Gaulle (Pont) Saint-Sébastien-sur-Loire,2.6884684684684688
1512,Gdo_xS9rJrFFoybTCxaDF,414.0,6.0,97.0,71.96,7.0,1973.0,Maison Individuelle,72328,9 Rue des Tamaris 72190 Sargé-lès-le-Mans,5.753196220122291
1513,SGTlbwdj8nxdmuz5DPvEL,430.0,6.0,23.0,38.0,4.0,1948.0,Logement,73100,Route du vincent 73330 Domessin,11.31578947368421
1518,N4Sd-BFfj4jxcmFgqoJAA,217.0,4.0,50.0,53.3,5.0,1947.0,Logement,78600,3 Rue Claude Monet 91450 Soisy-sur-Seine,4.071294559099437
1519,xmhRYYQffgr1Ypolc_Svf,298.27,5.0,14.52,56.32,3.0,1949.0,Maison Individuelle,79103,35 Rue Saillard du Rivault 79440 Courlay,5.295987215909091
1520,a-OOMwLIPRiypEbnYxMyY,410.0,6.0,123.0,131.0,7.0,1948.0,Maison Individuelle,80132,Rue du Marais 80110 Braches,3.1297709923664123
1521,qKag3WBUov7kjr8p7M9fN,134.0,3.0,36.0,105.37,5.0,1989.0,Maison Individuelle,81100,Chemin du Bosc 81700 Garrevaques,1.271709215146626
1522,hR1Oo70D9AAOeq2sODeyv,283.98,5.0,65.63,93.24,6.0,1970.0,Maison Individuelle,82121,26 Rue Charles Gounod 82000 Montauban,3.045688545688546
1529,8OB_K2eWTax_sCcYXHnE3,421.0,6.0,9.0,105.0,2.0,1947.0,Maison Individuelle,89100,Rue des Fours Banaux 89690 Chéroy,4.0095238095238095
1530,9r64QbKueMsVAi_oJ6EA0,238.2,5.0,44.05,150.0,5.0,1948.0,Maison Individuelle,78138,2 Rue de la Gare 78570 Chanteloup-les-Vignes,1.5879999999999999
1534,RY0193_Xv47S7MBQAoJW6,310.43,5.0,72.64,105.0,6.0,1974.0,Maison Individuelle,94038,21 Rue Albert 1er 94240 L'Haÿ-les-Roses,2.9564761904761907
1536,dw_gUW5ZTJghGci-2NlAu,369.0,6.0,12.0,71.3,3.0,1947.0,Maison Individuelle,01160,Grand Rue 01210 Ferney-Voltaire,5.175315568022441
1539,dZtqBMuDBvk1Y6N2TLQjy,620.16,7.0,17.85,112.1,3.0,1802.0,Maison Individuelle,04160,Rue de la Poste 04110 Reillanne,5.532203389830508
1541,fsfsTR-Vz5rvizk51SuIQ,126.86,3.0,4.7,26.61,1.0,2006.0,Logement,06083,57 Route du Val des Castagnins 06500 Menton,4.767380683953401
1542,mr_Y1hASxMN4y2O_V0IID,325.0,5.0,61.0,115.0,6.0,1968.0,Maison Individuelle,07300,15 Rue des Amouriers 07220 Saint-Thomé,2.8260869565217392
1545,deChV_UDl0q9PBlh-QgCS,295.33,5.0,13.94,35.0,3.0,1997.0,Logement,10362,25 Avenue du General Gallieni 10300 Sainte-Savine,8.437999999999999
1546,_fHNKHjVRORQPb6MM92II,236.75,5.0,10.33,79.0,2.0,1981.0,Maison Individuelle,11013,7 Rue les Terrasses du Port 11200 Argens-Minervois,2.9968354430379747
1550,SpmZeJ5qbdgUXhWPBut9_,256.0,5.0,7.0,188.4,2.0,-1.0,Maison Individuelle,15120,Champs Froids 15200 Mauriac,1.3588110403397027
1551,4LkFhNkzH8XBeWaeQjjX-,172.0,4.0,7.6,92.73,2.0,2006.0,Maison Individuelle,16277,la roche croizat 16200 Réparsac,1.8548474064488298
